id,name,county,state,country,latitude,longitude,watershed,stream,form,wwd_url
OR-3776,Corral Flat Falls,Lane County,Oregon,United States,43.92389,-121.98972,McKenzie River,,,https://www.worldwaterfalldatabase.com/waterfall/Corral-Flat-Falls-3776
OR-3777,Moss Creek Falls,Lane County,Oregon,United States,43.93222,-122.09472,McKenzie River,Moss Creek,,https://www.worldwaterfalldatabase.com/waterfall/Moss-Creek-Falls-3777
OR-3778,Fall Creek Falls,Clackamas County,Oregon,United States,45.24056,-122.2225,Clackamas River,Fall Creek,,https://www.worldwaterfalldatabase.com/waterfall/Fall-Creek-Falls-3778
OR-3779,Bee Creek Falls,Clackamas County,Oregon,United States,45.23667,-122.21806,Clackamas River,Bee Creek,,https://www.worldwaterfalldatabase.com/waterfall/Bee-Creek-Falls-3779
OR-3780,Bedford Falls,Clackamas County,Oregon,United States,45.22306,-122.20722,Clackamas River,,,https://www.worldwaterfalldatabase.com/waterfall/Bedford-Falls-3780
OR-3781,Whiskey Falls,Clackamas County,Oregon,United States,45.2125,-122.15944,Clackamas River,,,https://www.worldwaterfalldatabase.com/waterfall/Whiskey-Falls-3781
OR-3782,Boyer Falls,Clackamas County,Oregon,United States,45.20611,-122.15306,Clackamas River,Boyer Creek,,https://www.worldwaterfalldatabase.com/waterfall/Boyer-Falls-3782
OR-3783,Winslow Falls,Clackamas County,Oregon,United States,45.20139,-122.14917,Clackamas River,,,https://www.worldwaterfalldatabase.com/waterfall/Winslow-Falls-3783
OR-3784,Big Falls,Deschutes County,Oregon,United States,44.37136,-121.29236,Deschutes River,Deschutes River,,https://www.worldwaterfalldatabase.com/waterfall/Big-Falls-3784
OR-3785,Jackie Falls,Marion County,Oregon,United States,44.85423,-122.33853,Santiam River,Henline Creek,,https://www.worldwaterfalldatabase.com/waterfall/Jackie-Falls-3785
OR-3786,Little Frazier Falls,Wallowa County,Oregon,United States,45.15345,-117.26383,Grande Ronde River,,Gradual Cascade,https://www.worldwaterfalldatabase.com/waterfall/Little-Frazier-Falls-3786
OR-3787,Middle Adam Creek Falls,Wallowa County,Oregon,United States,45.23134,-117.25974,Columbia River,Adam Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Middle-Adam-Creek-Falls-3787
OR-3788,Clark Creek Falls,Hood River County,Oregon,United States,45.35333,-121.6625,Hood River,Clark Creek,,https://www.worldwaterfalldatabase.com/waterfall/Clark-Creek-Falls-3788
OR-3789,Upper Heather Canyon Falls,Hood River County,Oregon,United States,45.34806,-121.65972,Hood River,,,https://www.worldwaterfalldatabase.com/waterfall/Upper-Heather-Canyon-Falls-3789
OR-3790,Middle Heather Canyon Falls,Hood River County,Oregon,United States,45.34806,-121.65889,Hood River,,,https://www.worldwaterfalldatabase.com/waterfall/Middle-Heather-Canyon-Falls-3790
OR-3792,Pinnacle Peak Falls,Linn County,Oregon,United States,44.59442,-122.10572,Santiam River,Unnamed,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Pinnacle-Peak-Falls-3792
OR-3793,Hideaway Lake Falls,Clackamas County,Oregon,United States,45.12733,-121.96983,Clackamas River,Shellrock Creek,,https://www.worldwaterfalldatabase.com/waterfall/Hideaway-Lake-Falls-3793
OR-3794,Cline Falls,Deschutes County,Oregon,United States,44.27688,-121.25845,Deschutes River,Deschutes River,Segmented Steep Cascade,https://www.worldwaterfalldatabase.com/waterfall/Cline-Falls-3794
OR-3795,Paradise Creek Falls,Clackamas County,Oregon,United States,45.353,-121.74934,Sandy River,Paradise Creek,,https://www.worldwaterfalldatabase.com/waterfall/Paradise-Creek-Falls-3795
OR-3796,Grotto Falls,Clackamas County,Oregon,United States,45.40722,-121.85222,Sandy River,Unnamed,,https://www.worldwaterfalldatabase.com/waterfall/Grotto-Falls-3796
OR-3797,Little Grotto Falls,Clackamas County,Oregon,United States,45.40495,-121.85424,Sandy River,,,https://www.worldwaterfalldatabase.com/waterfall/Little-Grotto-Falls-3797
OR-3798,Lower Heather Canyon Falls,Hood River County,Oregon,United States,45.34783,-121.65802,Hood River,,,https://www.worldwaterfalldatabase.com/waterfall/Lower-Heather-Canyon-Falls-3798
OR-3799,Middle Paradise Branch Falls,Clackamas County,Oregon,United States,45.36417,-121.7475,Sandy River,Paradise Branch Sandy River,,https://www.worldwaterfalldatabase.com/waterfall/Middle-Paradise-Branch-Falls-3799
